# PanTiltKarte  Kopf=(5.6568,6.4708)  phi=1.599425
# X,Y
8.1475,11.6789
8.1787,11.3865
8.1597,11.2667
8.2861,11.1833
8.3224,11.1709
8.5442,11.1717
8.9699,11.1745
