# PanTiltKarte  Kopf=(1.5239,-0.0733)  phi=1.627422
# X,Y
0.0084,0.8285
0.0058,1.1453
0.0782,1.1726
0.1418,1.2046
1.1966,0.2512
1.3388,0.2573
1.4424,0.2731
1.5286,0.2802
1.7995,1.3771
1.8225,1.2455
1.8874,1.3066
1.9969,1.3195
2.0566,1.3323
2.1004,1.3010
2.1406,1.2640
2.2448,1.3565
2.3080,1.3556
2.3725,1.3526
2.4394,1.3496
2.5097,1.3473
1.8182,0.3207
1.8318,0.3102
1.8453,0.2995
2.5142,0.7355
2.5040,0.6718
2.4920,0.6106
2.4843,0.5562
2.4525,0.4900
2.0130,0.2005
2.0345,0.1674
2.0576,0.1559
2.4453,0.2483
2.4300,0.2079
2.4173,0.1701
2.3840,0.1291
2.3633,0.0935
2.3683,0.0641
2.8203,0.1376
