# PanTiltKarte  Kopf=(5.6568,6.4708)  phi=1.599425
# X,Y
8.1469,11.6776
8.1787,11.3865
8.1584,11.2643
8.2861,11.1833
8.3225,11.1711
8.5437,11.1708
8.7768,11.1741
8.9699,11.1745
