# PanTiltKarte  Kopf=(0.2805,-1.5408)  phi=0.075341
# X,Y
0.2559,-0.0033
0.2559,-0.0025
0.3093,-0.0152
0.3621,-0.0249
0.4144,-0.0352
0.4667,-0.0418
0.5202,-0.0412
0.5737,-0.0437
1.0008,-0.0018
1.2811,-0.0048
1.3637,0.0014
1.4409,0.0057
