# PanTiltKarte  Kopf=(0.8792,-0.9715)  phi=0.316700
# X,Y
-0.0181,0.1388
-0.1269,0.3664
-0.0674,0.3831
-0.0805,0.4020
-0.0065,0.3953
-0.0203,0.4165
0.0523,0.4077
0.0415,0.4258
0.1076,0.4237
0.1001,0.4372
0.1628,0.4379
0.1577,0.4479
0.2177,0.4508
0.2134,0.4598
0.2721,0.4626
0.2682,0.4719
0.3249,0.4767
0.3223,0.4833
0.3759,0.4948
0.4305,0.5012
0.4291,0.5058
0.4821,0.5161
0.5373,0.5158
0.5346,0.5278
0.5913,0.5171
0.5897,0.5256
0.6398,0.5493
0.6434,0.5268
0.6968,0.5260
0.6927,0.5595
0.7485,0.5394
0.7491,0.5325
0.8008,0.5520
0.8013,0.5427
0.8541,0.5530
0.9085,0.6200
0.9083,0.6059
0.9650,0.6361
0.9639,0.6146
1.0224,0.6474
1.0209,0.6297
1.0786,0.6397
1.1383,0.6540
1.1994,0.6674
1.2692,0.7105
1.2626,0.6818
1.3360,0.7265
1.3278,0.6962
1.4053,0.7432
1.3949,0.7094
1.4790,0.7648
1.4651,0.7249
1.5514,0.7747
1.5545,0.7827
1.5384,0.7409
1.6153,0.7579
1.6962,0.7762
1.7705,0.7737
1.8012,0.6881
1.8077,0.5704
1.2077,-0.7899
1.1906,-0.8132
1.2068,-0.8191
1.2088,-0.8320
1.2125,-0.8440
1.2219,-0.8539
1.2341,-0.8768
2.3244,-0.6393
2.2268,-0.7109
2.2998,-0.7479
2.2547,-0.8040
2.2398,-0.8538
2.2729,-0.8998
2.3099,-0.9479
2.3519,-0.9986
2.3937,-1.0523
2.3612,-1.1549
2.4523,-1.2222
2.4686,-1.2820
2.4861,-1.3441
2.5047,-1.4087
2.5225,-1.4756
1.3311,-1.1638
1.9840,-1.6368
1.9059,-1.6396
1.8602,-1.6598
1.8041,-1.6698
1.7513,-1.6791
1.7068,-1.6923
1.2515,-1.3193
1.6130,-1.7067
1.2578,-1.3782
1.2717,-1.4239
1.4954,-1.7339
1.4498,-1.7301
1.4132,-1.7356
1.0617,-1.6551
