# PanTiltKarte  Kopf=(4.8761,-0.3042)  phi=1.634164
# X,Y
0.0010,-0.0342
0.0032,0.3088
0.0041,0.4823
0.0006,0.8366
0.0034,1.2013
0.0073,1.3884
0.9364,1.2215
1.1197,1.3035
1.5169,2.2428
2.6910,2.4107
2.3069,3.1264
2.8600,2.5933
2.4000,3.5335
2.4857,3.7010
2.8818,3.3189
3.0298,4.0815
2.5697,5.7579
3.0352,6.6485
3.3843,7.4938
5.0799,9.6769
8.3509,12.5122
10.7890,12.2788
8.6895,7.1256
8.8055,5.7075
8.9191,5.4336
8.6955,4.7333
8.2583,3.6743
8.6288,3.9871
8.5575,3.6203
8.0141,2.9488
8.6652,2.9700
8.6154,2.7056
8.6029,2.4870
8.3913,1.7939
8.5999,1.7456
8.6738,1.6167
8.5729,1.4064
8.4845,1.2149
8.4617,1.0601
8.4159,0.9030
8.3995,0.7617
8.3852,0.6250
8.3652,0.4905
8.4428,0.3782
7.9612,0.1092
